"TELERIDE_NUMBER","STOP_NAME","POINT"
"4114","WB Panatela GA @ Harvest Hills BV NE","POINT (-114.069082 51.16704)"
"4368","NB Abbeydale DR @ Aberdare CR NE","POINT (-113.9266044 51.0589386)"
"2412","WB 104 AV NE @ Metis TR","POINT (-113.971325 51.1473162)"
"9656","EB Taradale DR @ Tarington CL NE","POINT (-113.9337092 51.1140224)"
"6202","WB Berkley DR @ Berkley RD NW","POINT (-114.0820983 51.1265205)"
"4288","NB 69 ST SW @ 34 AV SW","POINT (-114.1874021 51.0239009)"
"7941","WB 17 AV SW @ 14 ST SW","POINT (-114.0954911 51.0378955)"
"5732","Centre Street N Station (WB)","POINT (-114.0630893 51.0671001)"
"9739","SB Auburn Bay BV @ Autumn CR SE","POINT (-113.9680465 50.8961044)"
"5303","NB 1 ST SW @ 7 AV SW","POINT (-114.0653496 51.0464067)"
"9085","EB Woodpark BV @ 22 ST SW","POINT (-114.1141521 50.9356996)"
"6798","SB Home RD @ 20 AV NW","POINT (-114.1645336 51.0779458)"
"7353","NB 19 ST NE @ 39 AV NE","POINT (-114.011428 51.0886719)"
"3379","EB 33 AV @ 22 ST SW","POINT (-114.1137633 51.0239272)"
"2409","NB Cityscape DR@ Cityscape MR NE","POINT (-113.9661517 51.1507926)"
"6360","SB 52 ST E @ Memorial DR","POINT (-113.9557178 51.052703)"
"7057","WB Northmount DR @ Boulton RD NW","POINT (-114.1399247 51.0960999)"
"7223","EB Crowfoot CR @ Crowfoot WY NW","POINT (-114.1987802 51.1260298)"
"4247","NB Oakmoor WY @ Oakbury PL SW","POINT (-114.1242695 50.9622775)"
"5277","SB Edmonton TR @ 12 AV NE","POINT (-114.0561053 51.0630124)"
"6284","SB Woodbine BV @ Woodbrook RD SW","POINT (-114.1364196 50.9451351)"
"9218","NB Evergreen DR @ Evergreen PZ SW","POINT (-114.1020123 50.9211192)"
"6348","Westbrook LRT Station (EB Bow TR @ 33 ST SW)","POINT (-114.1362728 51.041469)"
"6856","EB Richmond RD @ 32 ST SW","POINT (-114.1334866 51.0246676)"
"3507","NB 52 ST SE @ McKenzie Terminal","POINT (-113.95709 50.9154449)"
"3926","WB Everridge DR @ 24 St SW","POINT (-114.1178184 50.9109461)"
"4702","WB 38 AV SW @ 15 ST SW","POINT (-114.0982071 51.0202342)"
"2803","North Hill Station (WB)","POINT (-114.1008991 51.0670895)"
"9506","WB Hamptons DR @ Hamptons HT NW","POINT (-114.1440426 51.1481449)"
"5211","NB Elbow DR @ Heritage DR SW","POINT (-114.0829916 50.9800327)"
"9174","Southland Leisure Centre (WB)","POINT (-114.1071106 50.9615206)"
"6556","WB Silver Springs GA @ Silverdale DR NW","POINT (-114.1866482 51.1036386)"
"2823","WB 76 AV SE @ 62 ST SE","POINT (-113.941401 50.9852378)"
"2425","NB Macleod TR @ S. of 61 AV SW","POINT (-114.0713306 50.9966368)"
"2886","SB 24 ST @ Palliser DR SW","POINT (-114.1181811 50.9697658)"
"5337","WB 33 AV SW@ 16 ST SW","POINT (-114.100165 51.0240517)"
"8812","WB Bowness RD @ 83 ST NW","POINT (-114.2084285 51.0907141)"
"9102","WB Canyon Meadows DR @ Lake Simcoe RI SE","POINT (-114.0597658 50.9304937)"
"3992","EB Varsity DR @ Viscount DR NW","POINT (-114.1517447 51.0927368)"
"7239","EB Arbour Lake WY @ Arbour Lake DR NW","POINT (-114.2005459 51.1353545)"
"7152","NB Scenic Acres DR @ Scandia BA NW","POINT (-114.2209847 51.1142554)"
"4479","NB 25 ST SE @ 14 AV SE","POINT (-114.0002009 51.0408024)"
"4483","SB Dover Ridge DR @ Doverthorn WY SE","POINT (-113.9878691 51.0195445)"
"7624","SB 53 ST NW @ Dalhart RD","POINT (-114.1592289 51.1109084)"
"7515","SB 21 ST NE @ 27 AV NE","POINT (-114.0091642 51.0763916)"
"3485","SB Scenic Acres DR @ Scenic Glen CR NW","POINT (-114.2111868 51.1159288)"
"2952","WB Tuscany BV @ Tuscany WY NW","POINT (-114.2470948 51.1237744)"
"6429","EB 90 AV SW @ 24 ST SW","POINT (-114.1164234 50.9721312)"
"7773","NB Signal Hill DR @ Signal Hill TC SW","POINT (-114.177002 51.0227775)"
"5892","SB 28 ST SE @ 26 AV SE","POINT (-113.9921194 51.0301063)"
"5375","WB 54 AV SW@ 21 ST SW","POINT (-114.1125123 51.0050727)"
"4857","SB 4 ST NW @ 19 AV NW","POINT (-114.071668 51.0692863)"
"9084","WB 40 AV NW @ Hudson RD","POINT (-114.0779628 51.0887829)"
"5729","NB Russet RD @ 8 AV NE","POINT (-114.040665 51.0600317)"
"2851","WB Abbeydale DR @ 68 ST NE","POINT (-113.9345364 51.0597147)"
"4378","SB Madigan DR @ 8 AV NE","POINT (-113.9406598 51.0594336)"
"6573","WB 90 AV SE @ 60 ST SE","POINT (-113.9475261 50.9724055)"
"6870","SB Sierra Morena BV @ Sierra Morena WY SW","POINT (-114.1861904 51.0196532)"
"6886","WB  Edgevalley DR @ Edgevalley CI NW","POINT (-114.1468203 51.1295488)"
"8287","NB Deer Ridge DR @ Deercrest PL SE","POINT (-114.013647 50.9257585)"
"5708","EB 8 AV NE @ McNeill RD","POINT (-114.01697 51.0595998)"
"8709","SB Elbow DR @ 73 AV SW","POINT (-114.0832909 50.9875078)"
"1806","WB Stoney BV NE @ 18 ST NE","POINT (-114.0174287 51.1653628)"
"6558","EB Sunvale DR @ Sundown WY SE","POINT (-114.0522596 50.899561)"
"5779","EB Northmount DR @ 14 ST NW","POINT (-114.0933572 51.0829164)"
"5826","SB Varsity Estates DR @ 700 Varsity Estates PL NW","POINT (-114.1785122 51.1025789)"
"3690","EB Evanston VW @ Evanston RI NW","POINT (-114.1176093 51.1642711)"
"7809","SB Laguna WY @ Anaheim PL NE","POINT (-113.9273641 51.0851704)"
"7213","WB Hawksbrow DR @ Hawkwood BV NW","POINT (-114.1679751 51.1251344)"
"7188","NB Ranchero DR @ Ranchero PL NW","POINT (-114.1896366 51.1238404)"
"6205","NB Crowchild TR @ 63 AV SW","POINT (-114.11779 50.9974405)"
"2423","SB 19 ST SE @ Century RI","POINT (-114.0085066 51.0484993)"
"9732","NB Auburn Bay BV @ Auburn Sound VW SE","POINT (-113.9633857 50.8850638)"
"4851","NB 4 ST NW @ 13 AV NW","POINT (-114.0714494 51.0650622)"
"7009","EB 5 AV SW @ 4 ST SW","POINT (-114.0718502 51.0485397)"
"5968","NB Lake Sylvan DR @ N. of Lake Michigan CR SE","POINT (-114.0289877 50.944761)"
"7357","NB 11 ST NE @ 55 AV NE","POINT (-114.0363041 51.1025749)"
"4315","WB Panorama Hills DR @ Panorama Hills BV SW","POINT (-114.0764792 51.1507469)"
"5393","WB 21 AV @ Spiller RD SE","POINT (-114.0421977 51.0346508)"
"8436","SB McKenzie Lake BV @ Mountain Park DR SE","POINT (-113.9915406 50.9017761)"
"4495","WB Temple DR @ Templewood RD NE","POINT (-113.9542078 51.0915583)"
"5357","NB 20 ST SW@ 42 AV SW","POINT (-114.109097 51.0164296)"
"2436","NB Douglas Glen Term south bay","POINT (-113.9977001 50.9530722)"
"8824","SB Bowness RD @ 42 ST NW","POINT (-114.1536614 51.0673465)"
"8322","EB Deer Run DR @ Deer Park DR SE","POINT (-114.0078004 50.9179539)"
"5563","EB Midlake BV @ Bannister RD SE","POINT (-114.0634801 50.9142864)"
"9411","SB Russet RD @ Remington RD NE","POINT (-114.0415794 51.061584)"
"8677","NB Symons Valley PY @ N. of Evanston WY NW","POINT (-114.1067621 51.1760479)"
"5505","SB 14 ST NW @ 20 AV NW","POINT (-114.0949985 51.0699229)"
"9209","SB James McKevitt RD @ Evergreen BV SW","POINT (-114.1003298 50.9171691)"
"3474","WB Mission Rd @ Macleod TR SW","POINT (-114.0617246 51.0218934)"
"6495","SB Citadel WY @ Citadel Bluff CL NW","POINT (-114.1931061 51.1462843)"
"3376","EB Council WY @ 14 St SW","POINT (-114.0940464 51.0239607)"
"8017","EB 17 AV SW @ 35 ST SW","POINT (-114.1377444 51.0377335)"
"6838","SB Arbour Lake WY @ Arbour Glen CL NW","POINT (-114.1915121 51.1362711)"
"9324","SB Lake Fraser DR @ N. End of Avenida PL SE","POINT (-114.0682556 50.9427409)"
"9738","SB Auburn Bay BV @ Auburn Bay AV SE","POINT (-113.9624644 50.8976224)"
"6028","WB 14 AV NE @ 33 ST NE","POINT (-113.9889719 51.0652137)"
"3610","SB 52 St @ Mckenzie Towne Li SE","POINT (-113.9569823 50.9154376)"
"9105","EB Canyon Meadows DR @ Lake Placid RI SE","POINT (-114.0515485 50.9302486)"
"2827","WB 61 AV SE @ 48 ST SE","POINT (-113.9630368 50.9991128)"
"7957","WB Bonaventure DR @  Southcentre Mall (WB)","POINT (-114.0660986 50.9543802)"
"8130","WB Marbank DR @ Mardale DR NE","POINT (-113.9663395 51.0635576)"
"4494","SB 44 ST SE @ 4 AV SE","POINT (-113.9701311 51.0490031)"
"8315","EB Queensland PL @ Queensland DR SE","POINT (-114.025882 50.9394378)"
"5735","Lions Park LRT Station (WB 14 AV NW)","POINT (-114.1035701 51.0652606)"
"7753","WB 42 AV SE @ 11 ST SE","POINT (-114.0376473 51.0160868)"
"2037","NB Nolan Hill Dr @ Nolanfield Hts NW","POINT (-114.1623002 51.176937)"
"7631","EB Arbour Lake RD @ W. of Crowfoot RI NW","POINT (-114.2135 51.1282076)"
"5605","EB 38 AV SW @ 15 ST SW","POINT (-114.0971465 51.0200909)"
"5589","NB 11A ST @ Colonel Baker PL NE","POINT (-114.0345991 51.0493088)"
"9274","WB 72 AV NE @ Huntridge GA","POINT (-114.0670874 51.1184361)"
"4141","WB Chaparral DR @ Chapala MT SE","POINT (-114.0397591 50.8821231)"
"6557","NB 18 ST SE @ Riverwood CI","POINT (-114.0153816 50.9706614)"
"8847","EB 9 AV SE @ 15 ST SE","POINT (-114.0244499 51.0373392)"
"2476","50 AV SE / PATHWAY","POINT (-113.9886926 51.0086457)"
"9310","SB 51 ST SW @ 30 AV SW","POINT (-114.1611142 51.0267457)"
"9478","SB 52 ST NE @ Marlborough DR","POINT (-113.9585181 51.0596213)"
"2845","SB 52 ST SE @ 86 AV SE","POINT (-113.9588577 50.9749825)"
"4311","WB Castleridge BV @ 54 AV NE","POINT (-113.9691748 51.1036636)"
"5224","NB 10 ST @ Kensington RD NW","POINT (-114.085783 51.0529989)"
"5149","NB 52 ST SE @ 48 AV SE","POINT (-113.9582719 51.0114317)"
"4822","NB Sage Valley DR NW @ S.Leg Sage Valley PA NW","POINT (-114.1487431 51.1804424)"
"4897","EB James McKevitt RD @ Millrise WY SW","POINT (-114.0804839 50.9212328)"
"7083","SB  Edenwold DR @ Edgemont BV NW","POINT (-114.1388056 51.1266995)"
"3689","EB Evanston VW @ Evansbrooke LI NW","POINT (-114.1200058 51.1645415)"
"6980","WB 50 AV SW @ Richard RD","POINT (-114.1259677 51.0088048)"
"6574","EB Martindale BV @ Martindale GA NE","POINT (-113.9642555 51.1123824)"
"6496","NB Coach Hill RD @ Coach Bluff CR SW","POINT (-114.1875606 51.0575449)"
"9504","WB Hamptons DR @ Hamstead RI NW","POINT (-114.1369951 51.1448693)"
"9154","NBLake Bonavista DR @ E. of Lake Crimson DR SE","POINT (-114.0353496 50.9340658)"
"5581","WB 11 AV SW @ 2 ST SW","POINT (-114.0687432 51.0426061)"
"7459","WB 17 AV SW @ 35 ST SW","POINT (-114.1387617 51.0378934)"
"8482","EB Signal Hill DR @ Sienna Park DR SW","POINT (-114.1791752 51.0266797)"
"6033","NB 12 ST NE @ 27 AV NE","POINT (-114.0252518 51.0773511)"
"4841","SB Richard RD @ Bishop Carroll High","POINT (-114.1209856 51.0137371)"
"8761","NB Auburn Bay AV @ Auburn Bay DR SE","POINT (-113.9573694 50.8935227)"
"8566","SB University CTrain Station","POINT (-114.1232288 51.080183)"
"4345","EB Rundlehorn DR @ 40 ST NE","POINT (-113.974307 51.0707445)"
"8514","EB Shawville GA @ 6 ST SW","POINT (-114.0714046 50.8978538)"
"5707","EB Danloe ST @ Child AV NE","POINT (-114.0332126 51.0584934)"
"8858","WB Valley Ridge DR @ Valley Stream CL NW","POINT (-114.2631701 51.0914966)"
"7758","EB 34 AV SE @ 8 ST SE","POINT (-114.0426519 51.0230408)"
"6565","SB Dalton DR (East) @ Dalhousie DR NW","POINT (-114.1476733 51.1029544)"
"5579","78th Avenue N Station (NB)","POINT (-114.0712512 51.1231009)"
"5313","WB 26 AV SW@ 49 ST SW","POINT (-114.1586545 51.0305806)"
"6268","SB Citadel DR @ Citadel BV NW","POINT (-114.1732129 51.1442129)"
"9609","EB 62 AV SE @ 18A ST SE","POINT (-114.0146364 50.9975915)"
"7078","SB Edenwold DR @ Edenstone RD NW","POINT (-114.1437458 51.1216933)"
"4088","WB Martindale BV @ Martha's WY NE","POINT (-113.9616072 51.1226848)"
"9318","NB Bonaventure DR @ Lake Simcoe CR SE","POINT (-114.0647383 50.9348448)"
"7055","WB Northmount DR @ Bulyea RD NW","POINT (-114.1345829 51.0956272)"
"7890","EB Martindale BV @ Martinbrook GA NE","POINT (-113.9562291 51.1142694)"
"6877","Richmond Rd Terminal SB","POINT (-114.1602785 51.0184862)"
"7966","NB Skyview Shores MR NE @ Skyview Shores CO NE","POINT (-113.9622198 51.1568906)"
"8196","SB 52 ST SE @ 61 AV SE","POINT (-113.9587825 50.9985334)"
"8249","WB Sunmills DR @ Sunwood GA SE","POINT (-114.0311291 50.8977532)"
"8236","EB Sun Valley BV @ E. of Suncrest WY SE","POINT (-114.0351099 50.9053923)"
"2897","North Pointe Terminal  I","POINT (-114.0693654 51.1579021)"
"5096","NB Hunterview DR @ 64 AV NW","POINT (-114.0786491 51.1105135)"
"5453","NB 14 ST NW @ 14 AV NW","POINT (-114.0939498 51.0641041)"
"9772","EB Cranston AV @ Cranarch RD SE","POINT (-113.9749571 50.8789356)"
"6761","SB 36 ST E @ Memorial DR","POINT (-113.9819761 51.0507491)"
"5295","NB Sarcee RD @ S. of 40 AV SW","POINT (-114.1354939 51.0168644)"
"3687","NB  Hamptons BV @ Hampstead WY NW","POINT (-114.1448448 51.1412683)"
"4462","NB 44 ST SE @ 8 AV SE","POINT (-113.9698891 51.0454978)"
"5428","EB 58 AV @ W. of Chinook Centre","POINT (-114.0780632 51.0013012)"
"8465","WB Campus DR NW @ EEEL","POINT (-114.1286815 51.0808398)"
"6953","WB Heritage DR @ 5 ST SW","POINT (-114.0796222 50.9796624)"
"1945","EB Cornerstone AV @ Cornerstone BV NE","POINT (-113.9374973 51.1608598)"
"2326","SB 68 ST NE @ Faldale CL","POINT (-113.9354034 51.1048154)"
"2079","NB Sherwood Bv @ Sherwood Ga NW","POINT (-114.1506261 51.1630028)"
"4084","NB 52 ST NE @ 80 AV NE","POINT (-113.9581937 51.1257551)"
"8270","WB 17 AV SE @ 65 ST SE","POINT (-113.939998 51.0379629)"
"8563","SB SAIT / AUArts / Jubilee CTrain Stn","POINT (-114.0912792 51.0629853)"
"7383","NB Signal Hill DR @ Signal Hill WY SW","POINT (-114.1701157 51.027423)"
"5752","SB Crowchild TR@ 26 AV SW Overpass","POINT (-114.1183598 51.0303218)"
"5753","NB 53 ST NW @ Dalhart DR","POINT (-114.1582575 51.1113705)"
"5770","NB Crowchild TR @ Flanders AV SW","POINT (-114.1174686 51.0168282)"
"6302","SB 36 ST SE @ 26 AV SE","POINT (-113.9818423 51.0297692)"
"7432","SB 14 ST NW @ Cromwell AV","POINT (-114.0948901 51.085778)"
"6611","NB 77 ST NW @ 36 AV NW","POINT (-114.199202 51.0859869)"
"3596","NB Cranford DR @ Cranford CL SE","POINT (-113.9669707 50.8734651)"
"1984","WB Homestead BV NE @ 84 ST NE","POINT (-113.9125422 51.1149608)"
"5342","SB 20 ST SW @ Cambrai AV","POINT (-114.1092907 51.0174419)"
"2126","EB Cranston DR @ W. Leg Cranridge HT SE","POINT (-113.9860287 50.8828806)"
"4513","NB Ogden RD @ Millican RD SE","POINT (-114.010362 51.0004415)"
"1993","SB Homestead DR NE @ Homestead AV NE","POINT (-113.9153669 51.1247915)"
"9399","EB 90 AV SE @ 44 ST SE","POINT (-113.9690391 50.9721836)"
"7959","WB Martindale BV @ Martinwood WY NE","POINT (-113.9503729 51.1142247)"
"2180","WB 17th AV SE @ 70th ST SE","POINT (-113.9310064 51.0379482)"
"5007","SB 19 ST NW @ 22 AV NW","POINT (-114.1064039 51.072005)"
"7705","WB 25 AV SE @ Spiller RD","POINT (-114.0507803 51.0297948)"
"8533","EB 17 AV SW @ Suffolk ST","POINT (-114.1147599 51.0377526)"
"3797","Mt Royal University W Gate EB","POINT (-114.1331072 51.0141083)"
"8276","WB 17 AV SE @ W. of 31 ST SE","POINT (-113.9902103 51.0379908)"
"3937","EB New Brighton GA @ 52 ST SE","POINT (-113.9572423 50.9181474)"
"3777","EB Springbluff BV @ Springbank WY SW","POINT (-114.1943225 51.0205415)"
"6604","SB Brisebois DR @ Northmount DR NW","POINT (-114.1292856 51.0928257)"
"8597","Saddletowne Terminal Stop I","POINT (-113.9484531 51.1247248)"
"4484","WB Dover Ridge DR @ 33 ST SE","POINT (-113.9857457 51.020839)"
"6092","WB Temple DR@ 64 ST NE","POINT (-113.9417582 51.0849814)"
"7196","NB Ranchlands BV @ Ranchview RD NW","POINT (-114.1855459 51.1177785)"
"4943","WB Valley Ridge DR @ Valley Crest RI NW","POINT (-114.2670167 51.09263)"
"9393","NB Shawville BV @ Shawville RD SE","POINT (-114.0648758 50.9023761)"
"6973","SB Coral Springs BV @ Coral Shores DR NE","POINT (-113.9256632 51.1037005)"
"4102","NB Harvest Hills BV @ Country Hill BV NE","POINT (-114.0673774 51.1542247)"
"6606","WB 40 AV NW @ 49 ST NW","POINT (-114.1591133 51.0883379)"
"6295","EB 12 AV SE @ 6 ST SE","POINT (-114.0485742 51.0409377)"
"9716","WB Panamount BV @ Panamount HL NW","POINT (-114.0774003 51.1592519)"
"4233","WB 90 AV SW @ Bay Ridge DR","POINT (-114.1097724 50.9723265)"
"6114","EB Southland DR @ Bonaventure DR SE","POINT (-114.0675161 50.964886)"
"9433","WB 16 AV NW @ 8 ST NW","POINT (-114.0818439 51.0670674)"
"7275","EB 5 AV SW @ 5 ST SW","POINT (-114.0725478 51.0485662)"
"9977","WB 6 AV SE @ Macleod TR","POINT (-114.0575511 51.047378)"
"5270","SB 4 ST NE @ 72 AV NE","POINT (-114.0526441 51.1176769)"
"5999","WB 6 AV SE @ Macleod TR","POINT (-114.0574809 51.047405)"
"3600","NB 52 ST @ Mahogany DR SE","POINT (-113.9421804 50.8927702)"
"2308","SB Arbour Lake WY @ Arbour Ridge WY NW","POINT (-114.1901506 51.1373843)"
"2121","WB Auburn Bay DR @ Auburn Glen GR SE","POINT (-113.9530518 50.8980245)"
"7830","SB 1 ST SE @ 7 AV SE","POINT (-114.0605901 51.0467547)"
"7797","Anderson LRT Station","POINT (-114.0740269 50.9544443)"
"7323","EB MacEwan DR @ MacEwan Ridge GA NW","POINT (-114.1155765 51.1397913)"
"2637","SB Redstone BV NE @ Red Embers MR NE","POINT (-113.9512103 51.1697672)"
"8574","EB Scurfield DR @ Scenic GD NW","POINT (-114.2127739 51.1222269)"
"8485","WB Signall Hill DR @ Sienna Park DR SW","POINT (-114.1802216 51.0270648)"
"4887","SB Highfield CR @ 11 ST SE","POINT (-114.0355593 51.0110416)"
"9147","WB Lake Bonavista DR @ Lake Mead  DR SE","POINT (-114.0552651 50.93833)"
"2533","WB 128 AV NE @ Cornerstone ST","POINT (-113.943149 51.1655548)"
"2972","SB Tuscany HL @ Tuscany Estates DR NW","POINT (-114.2469474 51.1141423)"
"3411","EB Canterbury DR @ Canyon Meadows DR SW","POINT (-114.0800508 50.9368688)"
"6242","NB Edmonton TR @ 8 AV NE","POINT (-114.0544614 51.0601286)"
"8715","NB Elbow DR @ 54 AV SW","POINT (-114.0812602 51.0055548)"
"3637","EB Sunalta CTrain Station","POINT (-114.0988326 51.044579)"
"6811","NB Franklin CTrain Station","POINT (-113.994618 51.0470363)"
"4049","SB Brisebois DR @ Capri AV NW","POINT (-114.1265833 51.0954037)"
"7278","WB Falshire DR @ 68 ST NE","POINT (-113.9357504 51.1080133)"
"5977","NB 6 ST SW @ Cantrell DR SW","POINT (-114.0759541 50.9346407)"
"9866","NB Promenade WY @ McKenzie Towne DR SE","POINT (-113.9566127 50.9110725)"
"9593","SB Tuscany DR @ Tuscany Ridge CR NW","POINT (-114.2542872 51.1252154)"
"2788","SB East Hills SQ @ East Hills BV SE","POINT (-113.9111336 51.0408226)"
"4948","SB Lake Fraser Dr @ N.of Lake Fraser CO SE","POINT (-114.0685993 50.9447464)"
"6253","Whitehorn LRT Station","POINT (-113.9826832 51.0870011)"
"3866","SB  Sherwood BV NW @ E. of Sherwood LI NW","POINT (-114.149691 51.160699)"
"5724","EB 27 AV NE @ 19 ST NE","POINT (-114.0109206 51.0768324)"
"7262","EB Westwinds DR @ 40 ST NE","POINT (-113.97535 51.1000502)"
"7694","EB Laguna WY @ San Diego MR NE","POINT (-113.9295808 51.0928835)"
"8302","SB Deer Run  BV @ Deercross RD SE","POINT (-114.0060087 50.925023)"
"3994","EB Varsity DR @ 48 ST NW","POINT (-114.1569144 51.0936813)"
"8020","EB Edgebrook DR @ Edgebrook LD NW","POINT (-114.1312955 51.1367063)"
"4360","SB Abbeydale DR @ 4 AV NE","POINT (-113.9311678 51.054687)"
"8532","EB 17 AV SW @ 24 ST SW","POINT (-114.1172993 51.0377523)"
"3792","Sunalta LRT Station WB","POINT (-114.0997422 51.0444073)"
"6722","WB 21 AV NW @ 12 ST NW","POINT (-114.089245 51.0715156)"
"4208","NB Bonaventure DR @ 90 AV SE","POINT (-114.0685758 50.9727112)"
"7608","EB Harvest Hills DR @ Harvest Lake WY NE","POINT (-114.04888 51.1511506)"
"6144","EB Madigan DR @ 52 ST NE","POINT (-113.9571984 51.0621145)"
"7413","NB 37 ST SW @ 19 AV SW","POINT (-114.1410702 51.0365467)"
"2067","WB Nolan Hill BV @ Nolanshire CR NW","POINT (-114.1647247 51.173246)"
"7971","NB 7 ST SE @ 42 AV SE","POINT (-114.045755 51.0164092)"
"3654","SB Sun Valley BV @ Sun Harbour RD SE","POINT (-114.0245589 50.9005002)"
"3978","EB Sunpark PZ @ W. of Sunpark DR SE","POINT (-114.0578273 50.9018118)"
"7477","WB Martindale DR @ Martindale CL NE","POINT (-113.954715 51.1125209)"
"7013","SB Canterbury DR @ Canova RD SW","POINT (-114.0895858 50.9431579)"
"6977","EB 50 AV SW @ Crowchild TR","POINT (-114.1189313 51.0086026)"
"6244","SB Edgepark BV @ Edgeburn CR NW","POINT (-114.1572719 51.1360279)"
"8965","SB 10 ST NW @ Confederation PK","POINT (-114.0847468 51.0760718)"
"6261","WB Chaparral DR @ Chapala DR SE","POINT (-114.0305415 50.8855318)"
"3494","EB Sage Hill GA @  W. of 37 St NW","POINT (-114.1425171 51.1707192)"
"7840","SB 1 ST SW @ 10 AV SW","POINT (-114.0657905 51.0430446)"
"2429","EB 194 AV SE & Walden BV","POINT (-114.0236525 50.8776276)"
"3592","WB Mahogany BV @ Marquis GR SE","POINT (-113.9144766 50.9032154)"
"3774","SB 77 ST SW @ Spring Valley VW","POINT (-114.1994609 51.0285082)"
"8901","SB Rocky Ridge RD @ Rocky Vista DR NW","POINT (-114.2344021 51.1381843)"
"9038","EB 40 AV N @ Centre ST N","POINT (-114.0626866 51.0886876)"
"7310","NB 4 ST SW @ Roxboro RD SW","POINT (-114.0714227 51.0286323)"
"7134","WB Silver Springs RD @ Nose Hill DR NW","POINT (-114.2099394 51.1097377)"
"7448","EB Country Hills BV @ Country Village WY NE","POINT (-114.0600073 51.1540665)"
"6292","NB 23 ST NE @ 37 AV NE","POINT (-114.005014 51.0871422)"
"8472","SB Harvest Hills BV @ Panamount GA NW","POINT (-114.0697293 51.1557048)"
"5166","SB Centre ST N @ Bergen RD N","POINT (-114.0715883 51.1286142)"
"4728","WB 83 AV SE @ Arlington DR","POINT (-114.0587621 50.9782184)"
"2094","SB Sherview DR @ Symons Valley PY NW","POINT (-114.1608232 51.1672805)"
"9681","WB 17 AV SW @ Aspen Summit DR","POINT (-114.2043702 51.0381782)"
"2574","NB 51 ST @ Richmond RD SW","POINT (-114.1596386 51.0185507)"
"2181","NB Ogden RD @ 78 AV SE","POINT (-113.9986794 50.9829827)"
"6184","SB 36 ST SE @ Radcliffe DR","POINT (-113.9817758 51.0476856)"
"4262","EB Acadia DR @ Fairmount DR SE","POINT (-114.0585506 50.9721892)"
"4398","NB Acadia DR @ Allden PL SE","POINT (-114.0483405 50.9680725)"
"9660","NB Taradale DR @ Taralake WY NE","POINT (-113.9269872 51.1192698)"
"2503","WB 50 AV SE @ 36 ST SE","POINT (-113.9772482 51.0089014)"
"3779","WB Springbluff  BV @ Springbank GA SW","POINT (-114.1907628 51.0213914)"
"3961","SB Fairmount DR @ Willow PK DR SE","POINT (-114.0592886 50.9580316)"
"9111","WB Woodfield RD @ WoodhavenCR SW","POINT (-114.1272216 50.9338273)"
"6807","NB Victoria Park / Stampede CTrain Station","POINT (-114.0582229 51.0384018)"
"8215","Edmonton Trail Station (EB)","POINT (-114.0554952 51.0667758)"
"2170","SB Sheriff King ST @ N of 194 AV SW","POINT (-114.0710455 50.8785369)"
"8285","SB Deer Ridge DR @ 137 AV SE","POINT (-114.0260389 50.9278381)"
"3555","EB 112 AV NW @ Royal Vista LI NW","POINT (-114.2047184 51.1538878)"
"4094","WB Panamount BV @ Panamount HL NW","POINT (-114.0762361 51.1593398)"
"2973","SB Tuscany WY @ Tuscany DR NW","POINT (-114.2501072 51.1287383)"
"8377","EB Hamptons BV @ Hamptons TC NW","POINT (-114.1466863 51.1435413)"
"5012","NB 29 ST NW @ Parkdale BV","POINT (-114.12941 51.0557704)"
"6768","SB Edmonton TR @ 19 AV NE","POINT (-114.0561908 51.069311)"
"7969","SB Citadel GA @ Citadel DR NW","POINT (-114.1808574 51.1421938)"
"6165","NB Queensland Dr @ Canyon Meadows DR SE","POINT (-114.0270135 50.9326393)"
"8355","SB 24 ST @ Douglas Glen GA SE","POINT (-114.0013183 50.9532102)"
"2317","NB 68 ST NE @ 26 AV NE","POINT (-113.9348929 51.0762831)"
"3617","NB 52 ST SE @ New Brighton DR","POINT (-113.957887 50.9262563)"
"9711","EB Panatella BV @ Panatella CL NW","POINT (-114.0757099 51.1642647)"
"6680","NB 9 ST NE @ 64 AV NE","POINT (-114.0411819 51.1116485)"
"2448","EB Hidden Valley Dr @ Hidden Springs GR NW","POINT (-114.1110673 51.151571)"
"6456","SB 45 ST SE @ South Health Campus","POINT (-113.9486168 50.882604)"
"5871","WB Temple DR @ Templegreen DR NE","POINT (-113.9460062 51.0926844)"
"7581","WB Kincora DR @ Kincora BA NW","POINT (-114.1307362 51.1547548)"
"6976","EB 50 AV @ Peacekeepers GA SW","POINT (-114.1245092 51.0086429)"
"3549","WB 112 AV NW @ Royal Vista LI NW","POINT (-114.2061473 51.1540029)"
"8242","EB Sunmills DR @ Sunlake CL SE","POINT (-114.0451813 50.8984428)"
"7906","EB 44 AV NE @ 49 ST NE","POINT (-113.9619622 51.0913644)"
"6449","NB Macleod TR @ 90 AV SE","POINT (-114.0712828 50.9724824)"
"2334","SB 68 ST NE @ Pinetree CR","POINT (-113.935356 51.0698404)"
"6906","WB Sandarac DR @ E. of 14 ST NW","POINT (-114.1075658 51.1405378)"
"5758","EB Glenmore TR @ Crowchild TR SW","POINT (-114.1166213 50.9995075)"
"7396","WB 32 AV NE @ 27 ST NE","POINT (-113.9955461 51.081619)"
