GETBUSID,TRADENAME,ADDRESS,COMDISTNM,LICENCETYPES,JOBSTATUSDESC,POINT
15331218,BARROW COFFEE ROASTERS,74 MOUNT ROYAL CI SW,LINCOLN PARK,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.1277288 51.0122584)
12631826,TIM HORTONS,6 RICHARD WY SW,LINCOLN PARK,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.1309434 51.0062364)
16362113,BUMBLE TEA HIVE CAFE,#125 180 LEGACY MAIN ST SE,LEGACY,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0264479 50.8616276)
14932842,TIM HORTONS #8366,#200 1625 210 AV SE,LEGACY,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0258789 50.8632229)
16011215,STARBUCKS COFFEE #58168,#330 20 LONGVIEW CM SE,LEGACY,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0278887 50.8648166)
15865207,SIERRA CAFE,#39 6439 CROWCHILD TR SW,LAKEVIEW,"ENTERTAINMENT ESTABLISHMENT,
RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.1182349 50.996976)
16433070,TIM HORTONS,#400 12100 MACLEOD TR SE,LAKE BONAVISTA,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0696085 50.9442023)
16328585,NUTRIEN CAFE #63015,#1000 13131 LAKE FRASER DR SE,LAKE BONAVISTA,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0672315 50.9347096)
13566450,TIM HORTONS (#1370),13615 BONAVENTURE DR SE,LAKE BONAVISTA,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",Renewal Licensed,POINT (-114.0635658 50.9307614)
12371746,TIM HORTONS,6825 MACLEOD TR SW,KINGSLAND,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0733212 50.9925416)
12146346,STARBUCKS COFFEE #4446,7624 ELBOW DR SW,KINGSLAND,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0825156 50.9854221)
981670,COFFEE CATS CAFE,2765 17 AV SW,KILLARNEY/GLENGARRY,"ENTERTAINMENT ESTABLISHMENT,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.1264873 51.0374165)
14690804,"FRANCESCO'S FOOD AND COFFEE, CAFFE FRANCESCO",3413 26 AV SW,KILLARNEY/GLENGARRY,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.1362132 51.0297003)
16659815,SECOND CUP COFFEE CO,#2 2803 17 AV SW,KILLARNEY/GLENGARRY,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Licensed,POINT (-114.126946 51.0376393)
16548158,MAYFAIR GARDEN CAFE,#105 6707 ELBOW DR SW,KELVIN GROVE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0841651 50.9934698)
13710181,GOOD HEART CAFE,#100A 1011 GLENMORE TR SW,KELVIN GROVE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0855533 50.993729)
16544991,BEEBOP CAFE,520 78 AV NW,HUNTINGTON HILLS,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0723655 51.1237344)
12457487,TIM HORTONS,2616 39 AV NE,HORIZON,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0000972 51.0891204)
79731,TIM HORTONS,#500 3508 32 AV NE,HORIZON,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-113.9838974 51.0820198)
16735730,HAIFA CAFE,#8 2611 37 AV NE,HORIZON,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Licensed,POINT (-114.0001558 51.0862378)
16668790,TIM HORTONS,#6110 64 HOMESTEAD GA NE,HOMESTEAD,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Licensed,POINT (-113.9123556 51.1201557)
16070708,TIM HORTONS,123 DR CARPENTER CI NW,HILLHURST,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0868963 51.0642254)
16070716,TIM HORTONS,514 ROSS RD NW,HILLHURST,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0890205 51.0653161)
15975808,DEVILLE COFFEE,1122 KENSINGTON RD NW,HILLHURST,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0875547 51.0526447)
14184659,HEXAGON BOARD GAME CAFE (THE),#200 1140 KENSINGTON RD NW,HILLHURST,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0885675 51.0526908)
132753,FRATELLO COFFEE CO,4021 9 ST SE,HIGHFIELD,FOOD SERVICE - PREMISES,Renewal Licensed,POINT (-114.0413216 51.0189359)
16563728,DOSSIER COFFEE SERVICE,4120 8 ST SE,HIGHFIELD,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",Renewal Licensed,POINT (-114.0426573 51.0174511)
16529372,NAMO CAFE BISTRO,#290 9737 MACLEOD TR SW,HAYSBORO,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0732734 50.9676679)
16680167,CUDDLE COFFEE AND ICE CREAM,#19 9620 ELBOW DR SW,HAYSBORO,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Licensed,POINT (-114.0839783 50.9689942)
16194086,ANALOG COFFEE,#130 55 GREENBRIAR DR NW,GREENWOOD/GREENBRIAR,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.2212299 51.0878873)
16147688,CONGRESS COFFEE,#1A 215 36 AV NE,GREENVIEW INDUSTRIAL PARK,"ENTERTAINMENT ESTABLISHMENT,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0584379 51.0847254)
224030,VAN HOUTTE COFFEE SERVICES,#228 7007 54 ST SE,GREAT PLAINS,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",Renewal Licensed,POINT (-113.9558053 50.9916607)
13022744,TIM HORTONS,#152 5303 68 AV SE,GREAT PLAINS,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-113.9575173 50.9936851)
12004305,TIM HORTONS,3955 17 AV SW,GLENDALE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.1439358 51.0373656)
15021751,PRIMAL GROUNDS CAFE,4017 50 ST SW,GLAMORGAN,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.1606146 51.0170906)
12026522,STARBUCKS COFFEE #4413,3531 GARRISON GA SW,GARRISON WOODS,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.1146428 51.0227503)
16471146,CAFE 100%,#220A 999 36 ST NE,FRANKLIN,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-113.9846992 51.0615792)
16106197,BLIZZARD CAFE,#8 401 33 ST NE,FRANKLIN,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-113.988008 51.0549183)
241653,COFFEE CONNECTION (THE),#3 401 33 ST NE,FRANKLIN,FOOD SERVICE - PREMISES,Renewal Licensed,POINT (-113.9876968 51.0556386)
16422545,SUMSHAN COFFEE DEVELOPMENT,#9 3200 14 AV NE,FRANKLIN,FOOD SERVICE - PREMISES,Renewal Licensed,POINT (-113.9881369 51.0658257)
12958336,CREPE CAFE (THE),#932 999 36 ST NE,FRANKLIN,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-113.9846992 51.0615792)
16691594,TIM HORTONS,1015 36 ST NE,FRANKLIN,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Licensed,POINT (-113.9823107 51.0619602)
16249518,EIGHTY SIX ROASTING AND COFFEE SUPPLIES,#R 5304 HUBALTA RD SE,FOREST LAWN INDUSTRIAL,FOOD SERVICE - PREMISES,Renewal Licensed,POINT (-113.9565406 51.0356108)
14388318,TIM HORTONS,4750 17 AV SE,FOREST LAWN,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-113.9670332 51.0381418)
733675,JOFFEE'S COFFEES,7954 51 ST SE,FOOTHILLS,FOOD SERVICE - PREMISES,Renewal Licensed,POINT (-113.9595434 50.9812996)
866681,KIENNA COFFEE,4049 74 AV SE,FOOTHILLS,FOOD SERVICE - PREMISES,Renewal Licensed,POINT (-113.979212 50.9873936)
15854508,CHRONICLE COFFEE ROASTERS,6733 30 ST SE,FOOTHILLS,FOOD SERVICE - PREMISES,Renewal Licensed,POINT (-113.9848602 50.99292)
15885601,TIM HORTONS RESTAURANT 1397,5279 72 AV SE,FOOTHILLS,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-113.9593827 50.9890219)
