GETBUSID,TRADENAME,ADDRESS,COMDISTNM,LICENCETYPES,JOBSTATUSDESC,POINT
13717053,TIM HORTONS #5029,#170 615 MACLEOD TR SE,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.058396 51.0466262)
15018765,GOOD EARTH COFFEEHOUSE CALGARY CITY HALL,#103 800 MACLEOD TR SE,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0569767 51.0450519)
14816458,DEVILLE COFFEE,#112 225 6 AV SW,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0667191 51.0469888)
12009031,STARBUCKS COFFEE #4412,#117 315 8 AV SW,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0691554 51.0454244)
12249843,STARBUCKS COFFEE #4513,#124 317 7 AV SW,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0687733 51.0464509)
15169865,TIM HORTONS,#101 444 5 AV SW,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0711708 51.0488919)
14097331,MONOGRAM COFFEE,#100 420 2 ST SW,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0671044 51.0489548)
12668992,STARBUCKS COFFEE #4935,#271 255 5 AV SW,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0669703 51.0481985)
14269906,MINI STOP SMOKE & COFFEE,700 CENTRE ST SE,DOWNTOWN COMMERCIAL CORE,"TOBACCO RETAILER,
RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES,
VAPE RETAILER",Renewal Licensed,POINT (-114.0623587 51.0460031)
16642803,STARBUCKS COFFEE #83227,#250 311 6 AV SW,DOWNTOWN COMMERCIAL CORE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Licensed,POINT (-114.0684603 51.0473322)
14388300,TIM HORTONS,2705 36 ST SE,DOVER,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-113.9820919 51.0303223)
15419443,QUARRY PERK CAFE,#110 205 QUARRY PARK BV SE,DOUGLASDALE/GLEN,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0137786 50.9628291)
12853271,STARBUCKS COFFEE #4099,#1300 163 QUARRY PARK BV SE,DOUGLASDALE/GLEN,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0101965 50.9631176)
16194672,SOBEY'S CAFE,1020 64 AV NE,DEERFOOT BUSINESS CENTRE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0399282 51.1116427)
12218442,GOURMET COFFEE PLACE (THE),7674 8 ST NE,DEERFOOT BUSINESS CENTRE,"TOBACCO RETAILER,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0426732 51.1199459)
16655250,TIM HORTONS 120025,#100 1133 137 AV SE,DEER RIDGE,FOOD SERVICE - PREMISES (SEATING),Licensed,POINT (-114.0294961 50.9272199)
14718985,SOUGHT AND FOUND COFFEE ROASTERS,916 CENTRE ST NE,CRESCENT HEIGHTS,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.062207 51.0603489)
13712831,TIM HORTONS,#117 1323 CENTRE ST NW,CRESCENT HEIGHTS,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0628102 51.0640247)
16055428,SUCRE PATISSERIE AND CAFE,810 CENTRE ST NE,CRESCENT HEIGHTS,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0619684 51.0592304)
16686594,CORAL CAFE YYC,201 16 AV NE,CRESCENT HEIGHTS,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Licensed,POINT (-114.0596942 51.0667354)
16712598,TIM HORTONS,#4060 356 CRANSTON RD SE,CRANSTON,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Licensed,POINT (-113.9763466 50.8797102)
12332961,STARBUCKS COFFEE # 4543,#605 130 COUNTRY VILLAGE RD NE,COVENTRY HILLS,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0649212 51.1609725)
16101685,TIM HORTONS,#238 177 COUNTRY HILLS BV NW,COUNTRY HILLS,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0714551 51.1485087)
16409336,TIM HORTONS,#1340 1155 CORNERSTONE BV NE,CORNERSTONE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-113.9386921 51.1552757)
12601209,STARBUCKS COFFEE #4853,#500 15566 MCIVOR BV SE,COPPERFIELD,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-113.9502596 50.9133209)
738708,STARBUCKS COFFEE #4272,2223 4 ST SW,CLIFF BUNGALOW,"ENTERTAINMENT ESTABLISHMENT,
RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0718319 51.032728)
16111148,JARA CAFE,2005B 4 ST SW,CLIFF BUNGALOW,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0718676 51.0348365)
13774013,PHIL & SEBASTIAN COFFEE ROASTERS,#140 2207 4 ST SW,CLIFF BUNGALOW,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0718118 51.0329729)
16314650,MADRASCAFE,908 CITYSCAPE SQ NE,CITYSCAPE,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-113.9675441 51.146159)
16259418,STARBUCKS COFFEE 69265,510 CITYSCAPE SQ NE,CITYSCAPE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-113.9684502 51.1468115)
16721979,COFFEE EVO & BAKERY,#3170 40 CHRISTIE PARK VW SW,CHRISTIE PARK,FOOD SERVICE - PREMISES (SEATING),Licensed,POINT (-114.1771488 51.037641)
16503369,CHOICES CAFE AND BISTRO,#103 138 4 AV SE,CHINATOWN,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0606922 51.0495595)
16077257,GRAVITY ESPRESSO AND WINE BAR,240 RIVERFRONT AV SW,CHINATOWN,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0667291 51.0525288)
15968811,TIM HORTONS,#103 10 CHAPARRAL DR SE,CHAPARRAL,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0264351 50.8860583)
16545121,MADRAS CAFE,#110 115 CARRINGTON PZ NW,CARRINGTON,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0928333 51.182295)
12550968,COFFEE MACHINE SERVICES,2114 14 ST NW,CAPITOL HILL,DISTRIBUTION MANAGER,Renewal Licensed,POINT (-114.0944881 51.0711481)
12048153,STARBUCKS COFFEE #4423,1120 16 AV NW,CAPITOL HILL,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0864233 51.0672947)
16564395,LESHINSKY'S BAKERY AND CAFE,#7 11625 ELBOW DR SW,CANYON MEADOWS,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0860227 50.9485916)
16289423,MONOGRAM COFFEE,802 49 AV SW,BRITANNIA,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.081771 51.0097994)
57901,GEORGE BOYACK GIFT SHOP AND CAFE,1203 CENTRE AV NE,BRIDGELAND/RIVERSIDE,"CHARITABLE ORGANIZATION,
RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0348077 51.0514381)
15963606,PHIL & SEBASTIAN COFFEE ROASTERS,#120 69 7A ST NE,BRIDGELAND/RIVERSIDE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0446591 51.0521626)
12406344,STARBUCKS COFFEE #4567,951 GENERAL AV NE,BRIDGELAND/RIVERSIDE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0406128 51.0529496)
16658833,MEN KESH KESH CAFE,204 7A ST NE,BRIDGELAND/RIVERSIDE,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Licensed,POINT (-114.0440248 51.0535605)
16490781,MY PIKNIC SANDWICH & CAFE,255 BRENTWOOD PL NW,BRENTWOOD,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.1276829 51.0866728)
16226011,SNOWYVILLAGE CAFE,#101 3604 52 AV NW,BRENTWOOD,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.1381642 51.1011876)
16298622,MINUET CAFE,1161C NORTHMOUNT DR NW,BRENTWOOD,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.1181893 51.0891857)
889626,STARBUCKS COFFEE #4381,#301 3630 BRENTWOOD RD NW,BRENTWOOD,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.1255703 51.0852142)
13985759,TIM HORTONS - BRAESIDE RESTAURANT #3051,11472 BRAESIDE DR SW,BRAESIDE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.1172695 50.9533486)
16269524,BOWNESS ARTS BOARDGAME CAFE,6324 BOWNESS RD NW,BOWNESS,"ENTERTAINMENT ESTABLISHMENT,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.1790313 51.0855807)
13813134,DELL CAFE,#28 7930 BOWNESS RD NW,BOWNESS,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.2007602 51.0895916)
13800891,STARBUCKS COFFEE #20883,83 BOWRIDGE DR NW,BOWNESS,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.2069547 51.0841743)
14541353,TIM HORTONS,6428 BOWNESS RD NW,BOWNESS,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.181066 51.086487)
13815519,TIM HORTONS WAL MART 5035,255 EAST HILLS BV SE,BELVEDERE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-113.9109339 51.0385365)
13986153,STARBUCKS COFFEE #26826,#603 409 EAST HILLS BV SE,BELVEDERE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-113.9091978 51.0389751)
12868014,REDHEADS BAGEL CAFE,#105 638 11 AV SW,BELTLINE,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0759813 51.0429143)
14228159,MIDORI JAPANESE CAFE,1054 17 AV SW,BELTLINE,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0863903 51.0380194)
16499238,SEMANTICS CAFE,1010 1 ST SE,BELTLINE,"ENTERTAINMENT ESTABLISHMENT,
RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0604691 51.0429623)
15786809,GRAVITY ESPRESSO AND WINE BAR,908 13 AV SW,BELTLINE,"ENTERTAINMENT ESTABLISHMENT,
RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0820799 51.0415967)
16508350,CHRONICLE COFFEE ROASTERS,926 16 AV SW,BELTLINE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.083427 51.0383841)
14709984,BEN'S CAFE,#105 919 11 AV SW,BELTLINE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0827792 51.0426633)
16565871,CAFE 18G,216 14 AV SE,BELTLINE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0604399 51.0395907)
14231104,DAUCK SA RANG & CAFE,#38 1324 10 AV SW,BELTLINE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0925259 51.0446362)
16161960,LAYALI CAFE,#101 617 11 AV SW,BELTLINE,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0751323 51.0425381)
16119299,I LOVE YOU COFFEE SHOP JR,520 12 AV SW,BELTLINE,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.072519 51.0418407)
13985908,GOOD EARTH COFFEEHOUSE,1502 11 ST SW,BELTLINE,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0888715 51.0391041)
14767909,TIM HORTONS,#110 880 16 AV SW,BELTLINE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0814866 51.0385424)
16523672,VELET BIKE SKI CAFE,#105 206 11 AV SE,BELTLINE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0603581 51.0427028)
15191133,SECOND CUP COFFEE,500 17 AV SW,BELTLINE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0717462 51.0380631)
12727764,STARBUCKS #4819,156 13 AV SW,BELTLINE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0655606 51.0406914)
16121097,DEVILLE COFFEE,#140 227 11 AV SW,BELTLINE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.0676425 51.0418499)
16560401,SOUGHT AND FOUND COFFEE BELTLINE,1107 4 ST SW,BELTLINE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Licensed,POINT (-114.0717863 51.0423331)
16718728,TIM HORTONS #121186,#205 40 BELMONT DR SW,BELMONT,FOOD SERVICE - PREMISES (SEATING),Licensed,POINT (-114.0625703 50.8738653)
13992847,DONAIRS CHOICES CAFE,#307 8120 BEDDINGTON BV NW,BEDDINGTON HEIGHTS,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0733152 51.1272625)
13747068,STARBUCKS COFFEE #17310,2513 14 ST SW,BANKVIEW,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0952075 51.0316973)
267476,WEEDS CAFE,1903 20 AV NW,BANFF TRAIL,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.1048526 51.0703156)
12580403,KWANZAA COFFEE HOUSE,#102 1824 CROWCHILD TR NW,BANFF TRAIL,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.1171242 51.0690274)
15941677,FAMOUS NOODLES & BBQ CAFE,#7110 333 96 AV NE,AURORA BUSINESS PARK,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0645876 51.1413353)
16364218,VYTHI BAGUETTE AND BUBBLE CAFE,#7140 333 96 AV NE,AURORA BUSINESS PARK,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0643579 51.1413373)
14389787,TIM HORTONS,#816 100 AUBURN MEADOWS DR SE,AUBURN BAY,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-113.9437554 50.894729)
14390538,A LADYBUG BAKERY & CAFE,#2132 10 ASPEN STONE BV SW,ASPEN WOODS,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.2125304 51.0414523)
12829982,STARBUCKS COFFEE # 4917,#105 391 ASPEN GLEN LD SW,ASPEN WOODS,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.2103672 51.0413552)
16357204,CACTUS CLUB CAFE,112 CROWFOOT TC NW,ARBOUR LAKE,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Renewal Licensed,POINT (-114.2030365 51.1285637)
15981871,TIM HORTONS,79 CROWFOOT WY NW,ARBOUR LAKE,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.2045398 51.1240388)
769604,STARBUCKS COFFEE #4325,66 CROWFOOT TC NW,ARBOUR LAKE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.2006461 51.1283654)
12557880,STARBUCKS COFFEE #4769,#900 20 CROWFOOT CR NW,ARBOUR LAKE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Licensed,POINT (-114.1995247 51.1252978)
13815493,TIM HORTONS APPLEWOOD,1715 70 ST SE,APPLEWOOD PARK,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-113.9310957 51.0384556)
13331400,8-OZ COFFEE,#2030 2600 PORTLAND ST SE,ALYTH/BONNYBROOK,"RETAIL DEALER - PREMISES,
WHOLESALER,
FOOD SERVICE - PREMISES",Renewal Licensed,POINT (-114.031577 51.0313835)
13929476,MONOGRAM COFFEE,4814 16 ST SW,ALTADORE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0998816 51.0109169)
16659013,BELLS CAFE,1515A 34 AV SW,ALTADORE,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",Licensed,POINT (-114.095581 51.0230369)
16557233,TIM HORTONS,#130 8810 MACLEOD TR SE,ACADIA,FOOD SERVICE - PREMISES (SEATING),Renewal Licensed,POINT (-114.0708593 50.9745475)
15783467,TIM HORTONS #2388,#1 5 HERITAGE GA SE,,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",Renewal Licensed,POINT (-114.0445452 50.9877016)
